medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Gold,"Samuel Adams Boston Stock Ale","Boston Beer Co.",Boston,MA,Alts,1989,"-71.0846 42.3188",42.3188,-71.0846,GABF
Silver,"Sun Valley White Cloud Ale","Sun Valley Brewing Co.",Hailey,ID,Alts,1989,"-114.3 43.5141",43.5141,-114.3,GABF
Gold,"Full Sail Amber Ale","Full Sail Brewing Co.","Hood River",OR,"Amber Ales",1989,"-121.5258 45.7092",45.7092,-121.5258,GABF
Silver,"1989 Autumn Ale","Alaskan Brewing and Bottling Co.",Juneau,AK,"Amber Ales",1989,"-134.1739 58.4546",58.4546,-134.1739,GABF
Bronze,"Hope Red Rooster Ale","Hope Brewing Co.",Providence,RI,"Amber Ales",1989,"-71.4187 41.823",41.823,-71.4187,GABF
Gold,"Hudepohl 14-K","Hudepohl-Schoenling Brewing Co.",Cleveland,OH,"American Light Pilsners",1989,"-81.6805 41.4767",41.4767,-81.6805,GABF
Silver,"Michelob Light","Anheuser-Busch, Inc","Saint Louis",MO,"American Light Pilsners",1989,,,,GABF
Bronze,"Boston Lightship","Boston Beer Co.",Boston,MA,"American Light Pilsners",1989,"-71.0846 42.3188",42.3188,-71.0846,GABF
Gold,Busch,"Anheuser-Busch, Inc","Saint Louis",MO,"American Pilsners",1989,,,,GABF
Silver,"Miller High Life","Miller Brewing Co.",Milwaukee,WI,"American Pilsners",1989,"-87.9673 43.0642",43.0642,-87.9673,GABF
Bronze,Budweiser,"Anheuser-Busch, Inc","Saint Louis",MO,"American Pilsners",1989,,,,GABF
Gold,"Lowenbrau Dark Special","Miller Brewing Co.",Milwaukee,WI,"American Premium Dark Pilsners",1989,"-87.9673 43.0642",43.0642,-87.9673,GABF
Silver,"Michelob Classic Dark","Anheuser-Busch, Inc","Saint Louis",MO,"American Premium Dark Pilsners",1989,,,,GABF
Bronze,"Berghoff Dark","Berghoff-Huber Brewing Co.",Monroe,WI,"American Premium Dark Pilsners",1989,"-89.6381 42.603",42.603,-89.6381,GABF
Gold,"Coors Extra Gold","Coors Brewing Co.",Golden,CO,"American Premium Pilsners",1989,"-105.2118 39.7406",39.7406,-105.2118,GABF
Silver,Coors,"Coors Brewing Co.",Golden,CO,"American Premium Pilsners",1989,"-105.2118 39.7406",39.7406,-105.2118,GABF
Gold,"Old Foghorn Barley Wine","Anchor Brewing Co.","San Francisco",CA,"Barley Wines",1989,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Old Dipsea Barley Wine","Marin Brewing Co.",Larkspur,CA,"Barley Wines",1989,"-122.5313 37.9394",37.9394,-122.5313,GABF
Gold,"Catamount Gold","Catamount Brewing Co.",Windsor,VT,"Blond/Golden Ales",1989,,,,GABF
Silver,"Oldenberg Blonde","Oldenberg Brewery/Drawbridge","Fort Mitchell",KY,"Blond/Golden Ales",1989,"-84.5563 39.0459",39.0459,-84.5563,GABF
Bronze,"Summit Sparkling Ale","Summit Brewing Co.","Saint Paul",MN,"Blond/Golden Ales",1989,,,,GABF
Gold,"Kessler Grand Teton Dopplebock","Kessler Brewing Co.",Helena,MT,"Bock Beers",1989,"-112.0199 46.5965",46.5965,-112.0199,GABF
Silver,"Old German-Style Bock","Frankenmuth Brewery Inc",Frankenmuth,MI,"Bock Beers",1989,"-83.7395 43.3321",43.3321,-83.7395,GABF
Bronze,"Dark Horse","Virginia Brewing Co.",Birmingham,AL,"Bock Beers",1989,"-86.7987 33.5277",33.5277,-86.7987,GABF
Gold,"Full Sail Brown Ale","Full Sail Brewing Co.","Hood River",OR,"Brown Ales",1989,"-121.5258 45.7092",45.7092,-121.5258,GABF
Silver,"Old Brown Dog Ale","The Northampton Brewery",Northamapton,MA,"Brown Ales",1989,,,,GABF
"First Place","Samuel Adams Boston Lager","Boston Beer Co.",Boston,MA,"Consumer Preference Poll",1989,"-71.0846 42.3188",42.3188,-71.0846,GABF
Gold,"Little Kings Cream Ale","Hudepohl-Schoenling Brewing Co.",Cleveland,OH,"Cream Ales",1989,"-81.6805 41.4767",41.4767,-81.6805,GABF
Silver,"Sun Valley Cream Ale","Sun Valley Brewing Co.",Hailey,ID,"Cream Ales",1989,"-114.3 43.5141",43.5141,-114.3,GABF
Gold,"Bud Dry","Anheuser-Busch, Inc","Saint Louis",MO,"Dry Beers",1989,,,,GABF
Silver,"Diamond Head Dry","Honolulu Brewing Co.",Honolulu,HI,"Dry Beers",1989,"-157.846 21.3294",21.3294,-157.846,GABF
Bronze,"Esquire Extra Dry Beer","Jones Brewing Co.",Smithton,PA,"Dry Beers",1989,"-79.7424 40.1538",40.1538,-79.7424,GABF
Gold,Schildbrau,"Millstream Brewing Co.",Amana,IA,"European Ambers",1989,"-91.8741 41.8025",41.8025,-91.8741,GABF
Silver,"Erin Brew","Cleveland Brewing Co.",Cleveland,OH,"European Ambers",1989,"-81.6805 41.4767",41.4767,-81.6805,GABF
Bronze,"Wild Boar Special Amber","Wild Boar Brewing Co.",Atlanta,GA,"European Ambers",1989,"-84.4225 33.7627",33.7627,-84.4225,GABF
Gold,"Manhattan Gold Lager","Mammoth Brewing","New York",NY,"European Pilsner",1989,"-73.9249 40.6943",40.6943,-73.9249,GABF
Silver,"D'Agostino Fresh","Mammoth Brewing","New York",NY,"European Pilsner",1989,"-73.9249 40.6943",40.6943,-73.9249,GABF
Bronze,"Saranac 1888","F.X. Matt Brewing Co.",Utica,NY,"European Pilsner",1989,"-75.226 43.0961",43.0961,-75.226,GABF
Gold,"Oldenberg Cherry Lager","Oldenberg Brewery/Drawbridge","Fort Mitchell",KY,"Fruit Beer",1989,"-84.5563 39.0459",39.0459,-84.5563,GABF
Gold,"Christmas Ale","Anchor Brewing Co.","San Francisco",CA,"Fruit Beer",1989,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Tri-City Winter Warmer","Tri-City Brewing Co.","Bay City",MI,"Fruit Beer",1989,"-83.8886 43.5903",43.5903,-83.8886,GABF
Gold,"Rubicon India Pale Ale","Rubicon Brewing Co.",Sacramento,CA,"India Pale Ales",1989,"-121.4683 38.5667",38.5667,-121.4683,GABF
Silver,"Liberty Ale","Anchor Brewing Co.","San Francisco",CA,"India Pale Ales",1989,"-122.443 37.7562",37.7562,-122.443,GABF
Gold,"St. Ides Premium Malt Liquor","McKenzie River Partners","San Francisco",CA,"Malt Liquor",1989,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Midnight Dragon Malt","Hudepohl-Schoenling Brewing Co.",Cleveland,OH,"Malt Liquor",1989,"-81.6805 41.4767",41.4767,-81.6805,GABF
Bronze,"King Cobra","Anheuser-Busch, Inc","Saint Louis",MO,"Malt Liquor",1989,,,,GABF
Gold,"Old German Dark","Frankenmuth Brewery Inc",Frankenmuth,MI,Muenchers,1989,"-83.7395 43.3321",43.3321,-83.7395,GABF
Silver,"Helenbock Beer","Friends Brewing Co.",Kennesaw,GA,Muenchers,1989,"-84.6177 34.0262",34.0262,-84.6177,GABF
Gold,"Sierra Nevada Pale Ale","Sierra Nevada Brewing Co.",Chico,CA,"Pale Ales",1989,"-121.8152 39.7575",39.7575,-121.8152,GABF
Silver,"Post Road Real Ale","Old Marlborough Brewing Co.",Framingham,MA,"Pale Ales",1989,"-71.4368 42.3085",42.3085,-71.4368,GABF
Bronze,"Mount Tamalpais Ale","Marin Brewing Co.",Larkspur,CA,"Pale Ales",1989,"-122.5313 37.9394",37.9394,-122.5313,GABF
Gold,"Tower Dark","Butterfield Brewing Co.",Fresno,CA,Porters,1989,"-119.7941 36.7831",36.7831,-119.7941,GABF
Silver,"George Washington Porter","Boston Beer Co.",Boston,MA,Porters,1989,"-71.0846 42.3188",42.3188,-71.0846,GABF
Bronze,"Anchor Porter","Anchor Brewing Co.","San Francisco",CA,Porters,1989,"-122.443 37.7562",37.7562,-122.443,GABF
Gold,"Sun Valley Our Holiday Ale","Sun Valley Brewing Co.",Hailey,ID,"Scottish Ales",1989,"-114.3 43.5141",43.5141,-114.3,GABF
Silver,"Blue Whale Ale","Pacific Coast Brewing Co.",Oakland,CA,"Scottish Ales",1989,"-122.2165 37.7903",37.7903,-122.2165,GABF
Gold,"San Quentin Breakout Stout","Marin Brewing Co.",Larkspur,CA,Stouts,1989,"-122.5313 37.9394",37.9394,-122.5313,GABF
Silver,"Sierra Nevada Stout","Sierra Nevada Brewing Co.",Chico,CA,Stouts,1989,"-121.8152 39.7575",39.7575,-121.8152,GABF
Bronze,"Rubicon Stout","Rubicon Brewing Co.",Sacramento,CA,Stouts,1989,"-121.4683 38.5667",38.5667,-121.4683,GABF
Gold,"Market Street Oktoberfest","Bohannon Brewing Co.",Nashville,TN,"Vienna/Marzen/Octoberfest Beer",1989,"-86.7843 36.1715",36.1715,-86.7843,GABF
Silver,"Gartenbrau Octoberfest","Capital Brewery Co. Inc",Middleton,WI,"Vienna/Marzen/Octoberfest Beer",1989,"-89.5058 43.1064",43.1064,-89.5058,GABF
Bronze,"Newman's Albany Amber","William S Newman Brewing Co.",Albany,NY,"Vienna/Marzen/Octoberfest Beer",1989,"-73.7987 42.6664",42.6664,-73.7987,GABF
Gold,"Stoudt's Weizen","Stoudt's Brewing Co.",Adamstown,PA,"Wheat Beers",1989,"-76.0608 40.2417",40.2417,-76.0608,GABF
Silver,"Chicago Vice Weizen","Goose Island Beer Co.",Chicago,IL,"Wheat Beers",1989,"-87.6862 41.8373",41.8373,-87.6862,GABF
Bronze,"Marin Weiss","Marin Brewing Co.",Larkspur,CA,"Wheat Beers",1989,"-122.5313 37.9394",37.9394,-122.5313,GABF
Gold,"Quadtum Leap","Revelry Brewing Co.",Charleston,SC,"Aged Beer",2018,"-79.963 32.8151",32.8151,-79.963,GABF
Silver,"Lock, Stock and Brandy Barrel","Maize Valley Craft Brewery",Hartville,OH,"Aged Beer",2018,"-81.3349 40.9618",40.9618,-81.3349,GABF
Bronze,Solzhenitsyn,"Iron Hill Brewery & Restaurant - Media",Media,PA,"Aged Beer",2018,"-75.3888 39.9198",39.9198,-75.3888,GABF
Gold,"Whitewall Wheat","Crank Arm Brewing Co.",Raleigh,NC,"American-Belgo-Style Ale",2018,"-78.6438 35.8324",35.8324,-78.6438,GABF
Silver,"#4.5 Dry Hopped Saison","Brown Truck Brewery","High Point",NC,"American-Belgo-Style Ale",2018,"-79.9937 35.9905",35.9905,-79.9937,GABF
Bronze,Mischief,"The Bruery",Placentia,CA,"American-Belgo-Style Ale",2018,"-117.8553 33.8807",33.8807,-117.8553,GABF
Gold,"Pecos Amber Lager","Texas Beer Co.",Taylor,TX,"American-Style Amber Lager",2018,"-97.4233 30.5743",30.5743,-97.4233,GABF
Silver,Märzen,"Sudwerk Brewing Co.",Davis,CA,"American-Style Amber Lager",2018,"-121.7365 38.5552",38.5552,-121.7365,GABF
